customer_id,signup_date,plan,monthly_fee,recency_days,churn
1,2023-02-05,premium,40.0,108,0
2,2021-09-06,basic,10.0,165,1
3,2023-05-14,basic,10.0,132,0
4,2021-12-13,basic,10.0,111,0
5,2021-08-12,standard,20.0,15,0
6,2023-05-24,basic,10.0,14,0
7,2022-12-05,premium,40.0,127,1
8,2023-01-11,basic,10.0,115,1
9,2023-12-19,standard,20.0,168,1
10,2022-03-05,standard,20.0,10,0
11,2023-07-09,basic,10.0,27,0
12,2021-12-31,standard,20.0,91,0
13,2022-09-14,premium,40.0,110,1
14,2022-10-18,basic,10.0,148,1
15,2021-08-22,basic,10.0,114,1
16,2021-07-24,basic,10.0,38,0
17,2021-09-08,standard,20.0,110,0
18,2023-01-07,premium,40.0,67,1
19,2022-11-03,basic,10.0,185,1
20,2023-10-29,premium,40.0,171,1
21,2023-02-13,standard,20.0,81,0
22,2021-09-29,standard,20.0,45,0
23,2023-09-29,standard,20.0,99,1
24,2023-11-06,premium,40.0,29,1
25,2023-03-14,basic,10.0,179,0
26,2023-01-01,basic,10.0,140,0
27,2021-05-24,basic,10.0,125,1
28,2021-04-16,premium,40.0,103,0
29,2021-10-19,standard,20.0,129,1
30,2022-04-29,basic,10.0,72,0
31,2021-03-21,basic,10.0,35,0
32,2023-08-29,premium,40.0,95,0
33,2022-06-04,basic,10.0,128,1
34,2023-02-03,standard,20.0,73,0
35,2021-08-21,standard,20.0,166,0
36,2021-12-24,standard,20.0,46,0
37,2021-05-08,standard,20.0,147,1
38,2023-03-15,standard,20.0,111,1
39,2023-04-28,standard,20.0,118,1
40,2021-08-30,standard,20.0,3,0
41,2023-02-22,basic,10.0,56,0
42,2021-03-31,standard,20.0,110,0
43,2022-03-05,basic,10.0,102,1
44,2021-06-25,basic,10.0,50,1
45,2023-03-26,basic,10.0,176,0
46,2022-01-08,basic,10.0,30,0
47,2022-06-03,standard,20.0,6,0
48,2022-05-25,basic,10.0,124,0
49,2022-06-05,premium,40.0,22,0
50,2021-10-19,basic,10.0,74,0
51,2022-09-04,standard,20.0,156,0
52,2023-06-13,standard,20.0,50,0
53,2022-07-01,standard,20.0,159,0
54,2021-07-31,basic,10.0,157,0
55,2021-01-27,standard,20.0,70,0
56,2021-05-22,premium,40.0,79,0
57,2021-03-31,basic,10.0,75,0
58,2021-04-11,standard,20.0,20,0
59,2021-05-15,standard,20.0,32,0
60,2022-10-18,basic,10.0,28,0
61,2023-06-03,premium,40.0,76,0
62,2023-07-25,premium,40.0,56,0
63,2022-12-17,standard,20.0,93,0
64,2022-10-21,basic,10.0,91,0
65,2021-12-30,standard,20.0,136,1
