customer_id,ticket_date,issue_type,resolution_days
3,2023-06-13,technical,1
8,2023-08-26,technical,2
10,2022-03-19,general,9
12,2022-06-02,general,4
16,2021-11-14,technical,4
21,2023-03-18,billing,4
28,2023-10-28,general,1
36,2023-12-02,general,3
76,2023-11-10,billing,9
81,2023-06-13,general,1
83,2022-10-18,billing,9
86,2023-01-22,billing,4
100,2023-01-19,technical,6
107,2023-06-19,general,2
117,2023-08-03,general,9
117,2023-07-05,billing,0
126,2022-04-10,general,2
127,2023-06-24,general,9
136,2022-03-10,billing,8
138,2023-10-25,billing,3
148,2023-08-17,technical,0
167,2023-07-13,billing,5
167,2023-05-28,billing,8
171,2023-10-21,technical,3
174,2023-03-29,billing,3
180,2023-09-18,technical,4
182,2021-08-26,technical,9
194,2023-07-03,billing,3
204,2023-08-28,technical,6
213,2022-08-30,general,6
215,2022-05-09,general,0
219,2022-01-18,technical,8
221,2023-11-26,general,5
222,2023-03-02,technical,4
222,2022-06-09,general,8
224,2023-02-26,billing,5
224,2023-05-25,technical,6
233,2023-10-12,general,1
237,2023-11-14,general,4
238,2023-10-18,billing,1
239,2023-05-25,technical,9
253,2023-05-26,billing,7
267,2022-06-02,billing,3
270,2023-06-21,technical,7
280,2023-08-14,general,8
280,2023-10-02,general,5
309,2021-09-12,general,8
312,2023-04-19,technical,1
338,2023-08-14,general,1
348,2023-11-20,technical,6
349,2023-09-01,technical,0
361,2023-12-16,general,5
365,2023-05-27,technical,8
367,2023-03-05,general,0
376,2022-10-19,general,8
376,2023-01-13,billing,0
393,2023-11-08,technical,7
395,2022-11-02,general,0
418,2023-08-16,general,8
476,2022-02-05,billing,9
486,2023-12-01,technical,6
487,2022-08-11,technical,0
491,2023-10-19,billing,4
495,2022-06-01,general,3
522,2023-03-26,billing,5
528,2022-11-29,general,8
555,2021-06-10,billing,6
560,2023-01-16,technical,6
561,2023-11-04,billing,2
570,2023-11-28,technical,4
578,2023-11-28,billing,3
580,2022-06-07,technical,7
581,2023-09-19,billing,1
581,2022-07-17,billing,1
591,2023-11-02,general,8
600,2023-11-10,technical,2
606,2022-11-25,billing,4
623,2023-08-06,technical,1
626,2023-03-13,billing,0
628,2023-09-13,technical,2
645,2023-01-11,technical,8
649,2023-02-09,billing,3
652,2021-11-20,general,8
657,2022-08-10,technical,4
669,2023-02-17,billing,4
676,2023-11-08,technical,9
684,2023-10-20,technical,2
687,2023-10-26,billing,6
694,2022-10-28,general,4
702,2023-12-01,billing,4
708,2021-06-18,billing,1
715,2024-01-13,general,7
715,2023-12-28,billing,1
718,2022-11-24,general,4
725,2023-04-30,technical,3
731,2023-11-19,technical,2
733,2023-07-29,technical,3
741,2023-12-04,general,5
749,2023-04-27,technical,2
755,2023-04-13,general,3
759,2022-10-11,technical,2
764,2021-07-10,general,0
768,2023-11-15,billing,4
774,2023-12-08,general,3
782,2023-01-19,general,4
786,2023-07-17,general,4
791,2022-05-11,technical,6
798,2022-08-10,general,6
799,2022-08-15,general,9
803,2023-09-28,billing,8
803,2022-10-25,billing,5
