customer_id,plan,monthly_fee,total_amount,trans_count,recency_days,recency_days_tx,logins_7d,logins_30d,logins_90d,tickets,avg_resolution,tenure_days,churn
1,premium,40.0,440.0,11,108,26,1,4,9,0,0.0,330,0
2,basic,10.0,280.0,28,165,28,0,4,7,0,0.0,847,1
3,basic,10.0,70.0,7,132,43,0,0,6,1,1.0,232,0
4,basic,10.0,230.0,23,111,84,0,0,5,0,0.0,749,0
5,standard,20.0,580.0,29,15,31,0,0,4,0,0.0,872,0
6,basic,10.0,60.0,6,14,70,0,0,2,0,0.0,222,0
7,premium,40.0,480.0,12,127,61,1,1,6,0,0.0,392,1
8,basic,10.0,90.0,9,115,115,0,0,6,1,2.0,355,1
9,standard,20.0,20.0,1,168,12,2,2,2,0,0.0,13,1
10,standard,20.0,420.0,21,10,59,0,1,3,1,9.0,667,0
11,basic,10.0,40.0,4,27,79,0,0,3,0,0.0,176,0
12,standard,20.0,460.0,23,91,63,0,2,9,1,4.0,731,0
13,premium,40.0,560.0,14,110,80,0,2,5,0,0.0,474,1
14,basic,10.0,140.0,14,148,48,0,0,2,0,0.0,440,1
15,basic,10.0,270.0,27,114,73,0,1,2,0,0.0,862,1
16,basic,10.0,290.0,29,38,51,0,0,4,1,4.0,891,0
17,standard,20.0,560.0,28,110,29,0,4,6,0,0.0,845,0
18,premium,40.0,360.0,9,67,118,0,1,7,0,0.0,359,1
19,basic,10.0,130.0,13,185,56,0,3,8,0,0.0,424,1
20,premium,40.0,80.0,2,171,30,0,1,5,0,0.0,64,1
21,standard,20.0,200.0,10,81,47,0,0,6,1,4.0,322,0
22,standard,20.0,500.0,25,45,101,0,1,4,0,0.0,824,0
23,standard,20.0,40.0,2,99,62,0,0,1,0,0.0,94,1
24,premium,40.0,40.0,1,29,56,0,0,2,0,0.0,56,1
25,basic,10.0,90.0,9,179,47,0,1,6,0,0.0,293,0
26,basic,10.0,120.0,12,140,29,1,4,8,0,0.0,365,0
27,basic,10.0,300.0,30,125,74,0,1,3,0,0.0,952,1
28,premium,40.0,1320.0,33,103,30,0,2,8,1,1.0,990,0
29,standard,20.0,520.0,26,129,48,0,1,6,0,0.0,804,1
30,basic,10.0,200.0,20,72,41,0,1,7,0,0.0,612,0
31,basic,10.0,330.0,33,35,53,0,0,4,0,0.0,1016,0
32,premium,40.0,80.0,2,95,88,0,2,3,0,0.0,125,0
33,basic,10.0,170.0,17,128,96,0,0,5,0,0.0,576,1
34,standard,20.0,200.0,10,73,60,0,2,4,0,0.0,332,0
35,standard,20.0,520.0,26,166,105,0,2,4,0,0.0,863,0
36,standard,20.0,480.0,24,46,41,0,1,3,1,3.0,738,0
37,standard,20.0,640.0,32,147,33,0,1,4,0,0.0,968,1
38,standard,20.0,140.0,7,111,107,0,1,3,0,0.0,292,1
39,standard,20.0,140.0,7,118,61,0,2,4,0,0.0,248,1
40,standard,20.0,540.0,27,3,73,0,1,7,0,0.0,854,0
41,basic,10.0,80.0,8,56,96,0,1,7,0,0.0,313,0
42,standard,20.0,620.0,31,110,104,0,1,8,0,0.0,1006,0
43,basic,10.0,220.0,22,102,28,0,2,6,0,0.0,667,1
44,basic,10.0,280.0,28,50,108,0,2,9,0,0.0,920,1
45,basic,10.0,80.0,8,176,70,0,2,3,0,0.0,281,0
46,basic,10.0,240.0,24,30,30,0,1,6,0,0.0,723,0
47,standard,20.0,380.0,19,6,32,0,0,6,0,0.0,577,0
48,basic,10.0,180.0,18,124,73,0,2,3,0,0.0,586,0
49,premium,40.0,760.0,19,22,33,0,0,2,0,0.0,575,0
50,basic,10.0,260.0,26,74,49,0,0,2,0,0.0,804,0
51,standard,20.0,300.0,15,156,58,1,5,7,0,0.0,484,0
52,standard,20.0,80.0,4,50,110,0,0,3,0,0.0,202,0
53,standard,20.0,340.0,17,159,63,0,0,2,0,0.0,549,0
54,basic,10.0,280.0,28,157,67,0,0,4,0,0.0,884,0
55,standard,20.0,700.0,35,70,46,0,1,6,0,0.0,1069,0
56,premium,40.0,1200.0,30,79,83,0,1,8,0,0.0,954,0
57,basic,10.0,320.0,32,75,72,0,0,4,0,0.0,1006,0
58,standard,20.0,620.0,31,20,95,0,1,4,0,0.0,995,0
59,standard,20.0,620.0,31,32,54,0,3,10,0,0.0,961,0
60,basic,10.0,130.0,13,28,72,0,1,3,0,0.0,440,0
61,premium,40.0,240.0,6,76,56,0,3,11,0,0.0,212,0
62,premium,40.0,160.0,4,56,61,0,1,5,0,0.0,160,0
63,standard,20.0,220.0,11,93,76,0,2,4,0,0.0,380,0
64,basic,10.0,120.0,12,91,105,0,0,12,0,0.0,437,0
65,standard,20.0,460.0,23,136,69,0,3,9,0,0.0,732,1
66,basic,10.0,10.0,1,140,71,0,0,3,0,0.0,75,1
67,basic,10.0,120.0,12,31,59,0,0,1,0,0.0,394,0
68,premium,40.0,360.0,9,139,53,1,1,3,0,0.0,302,1
69,basic,10.0,90.0,9,114,43,0,0,4,0,0.0,292,0
70,basic,10.0,40.0,4,60,54,2,4,6,0,0.0,153,0
71,standard,20.0,160.0,8,147,109,0,0,4,0,0.0,326,1
72,standard,20.0,40.0,2,52,42,0,0,3,0,0.0,78,1
73,standard,20.0,320.0,16,133,44,0,0,2,0,0.0,503,0
74,basic,10.0,140.0,14,182,107,0,0,7,0,0.0,497,0
75,standard,20.0,540.0,27,87,39,0,0,2,0,0.0,821,0
76,standard,20.0,20.0,1,84,63,0,1,6,1,9.0,69,0
77,premium,40.0,560.0,14,139,93,0,1,7,0,0.0,490,0
78,premium,40.0,640.0,16,65,95,0,2,8,0,0.0,553,0
79,standard,20.0,480.0,24,113,58,0,0,6,0,0.0,749,0
80,basic,10.0,260.0,26,135,37,0,0,5,0,0.0,796,0
81,basic,10.0,110.0,11,96,101,0,1,6,1,1.0,402,0
82,basic,10.0,200.0,20,34,26,0,3,4,0,0.0,601,0
83,basic,10.0,130.0,13,159,105,0,1,5,1,9.0,474,0
84,basic,10.0,120.0,12,8,28,0,0,5,0,0.0,367,0
85,standard,20.0,40.0,2,76,78,0,0,3,0,0.0,111,0
86,basic,10.0,240.0,24,20,39,0,1,9,1,4.0,733,0
87,standard,20.0,220.0,11,160,42,0,0,6,0,0.0,349,1
88,basic,10.0,10.0,1,2,104,0,1,2,0,0.0,106,0
89,basic,10.0,180.0,18,5,82,0,1,6,0,0.0,593,0
90,premium,40.0,1080.0,27,125,32,0,2,6,0,0.0,814,0
91,standard,20.0,500.0,25,101,57,0,0,7,0,0.0,778,0
92,basic,10.0,240.0,24,195,26,0,3,6,0,0.0,723,0
