customer_id,churn,future_12m_revenue
1,0,320.0
2,1,100.0
3,0,40.0
4,0,60.0
5,0,240.0
6,0,70.0
7,1,80.0
8,1,50.0
9,1,100.0
10,0,120.0
11,0,70.0
12,0,120.0
13,1,280.0
14,1,60.0
15,1,80.0
16,0,60.0
17,0,120.0
18,1,240.0
19,1,80.0
20,1,360.0
21,0,160.0
22,0,120.0
23,1,160.0
24,1,320.0
25,0,110.0
26,0,40.0
27,1,40.0
28,0,360.0
29,1,180.0
30,0,30.0
31,0,40.0
32,0,200.0
33,1,70.0
34,0,200.0
35,0,160.0
36,0,220.0
37,1,80.0
38,1,140.0
39,1,160.0
40,0,120.0
41,0,40.0
42,0,140.0
43,1,50.0
44,1,80.0
45,0,70.0
46,0,130.0
47,0,80.0
48,0,80.0
49,0,280.0
50,0,80.0
51,0,140.0
52,0,100.0
53,0,140.0
54,0,70.0
55,0,160.0
56,0,120.0
57,0,60.0
58,0,160.0
59,0,180.0
60,0,80.0
61,0,200.0
62,0,200.0
63,0,180.0
64,0,80.0
65,1,180.0
66,1,90.0
67,0,80.0
68,1,280.0
69,0,70.0
70,0,70.0
71,1,120.0
72,1,160.0
73,0,140.0
74,0,30.0
75,0,180.0
76,0,40.0
77,0,360.0
78,0,320.0
79,0,200.0
80,0,60.0
81,0,90.0
82,0,90.0
83,0,50.0
84,0,60.0
85,0,120.0
86,0,50.0
87,1,180.0
88,0,60.0
89,0,80.0
90,0,400.0
91,0,120.0
92,0,60.0
93,0,140.0
94,0,220.0
95,0,140.0
96,1,60.0
97,1,120.0
98,1,120.0
99,0,200.0
100,0,90.0
101,1,140.0
102,0,100.0
103,1,40.0
104,0,160.0
105,0,40.0
106,0,80.0
107,1,200.0
108,0,280.0
109,1,70.0
110,0,140.0
111,0,80.0
112,1,360.0
113,1,70.0
114,0,40.0
115,0,100.0
116,0,100.0
117,0,100.0
118,0,120.0
119,0,50.0
120,1,140.0
121,1,360.0
122,0,180.0
123,1,160.0
124,0,120.0
125,1,50.0
126,0,100.0
127,1,180.0
128,0,70.0
129,1,60.0
130,0,240.0
131,0,50.0
132,1,50.0
133,0,80.0
134,0,40.0
135,0,200.0
136,0,100.0
137,0,240.0
138,1,110.0
139,0,120.0
140,0,300.0
141,0,360.0
142,0,80.0
143,0,60.0
144,0,80.0
145,0,60.0
146,0,80.0
147,0,70.0
148,0,60.0
149,0,40.0
150,1,40.0
151,0,90.0
152,0,90.0
153,0,70.0
154,0,120.0
155,0,180.0
156,1,100.0
157,0,200.0
158,0,70.0
159,0,140.0
160,1,120.0
161,1,100.0
162,1,80.0
163,1,100.0
164,0,140.0
165,0,50.0
166,0,120.0
167,0,80.0
168,0,70.0
169,0,70.0
170,0,70.0
171,0,50.0
172,0,180.0
173,1,200.0
174,0,320.0
175,0,50.0
176,0,80.0
177,0,50.0
178,0,160.0
179,1,180.0
