customer_id,churn_prob,cltv_pred,top_shap_feature,priority_score
830,0.825,423.2,total_amount,349.14
2572,0.71,409.0,tenure_days,290.39
1250,0.71,366.4,total_amount,260.14399999999995
1635,0.78,326.4,total_amount,254.59199999999998
778,0.86,292.4,tenure_days,251.46399999999997
381,0.825,302.8,total_amount,249.81
836,0.765,325.6,total_amount,249.08400000000003
1952,0.73,331.8,tenure_days,242.214
314,0.855,283.0,total_amount,241.965
2267,0.765,314.2,total_amount,240.363
327,0.735,326.8,total_amount,240.198
2089,0.86,279.2,total_amount,240.112
964,0.83,288.8,tenure_days,239.704
1321,0.73,326.4,tenure_days,238.272
421,0.815,291.0,total_amount,237.165
2835,0.87,272.4,total_amount,236.98799999999997
2592,0.79,299.4,total_amount,236.52599999999998
2963,0.85,272.0,tenure_days,231.2
1236,0.75,305.0,total_amount,228.75
1295,0.705,322.0,tenure_days,227.01
2466,0.775,292.6,tenure_days,226.76500000000001
256,0.795,283.8,total_amount,225.621
1758,0.655,342.2,tenure_days,224.141
112,0.7,319.2,total_amount,223.43999999999997
2276,0.815,272.0,tenure_days,221.67999999999998
566,0.785,277.8,tenure_days,218.073
2763,0.75,290.0,total_amount,217.5
1707,0.73,296.2,total_amount,216.226
1077,0.725,296.0,tenure_days,214.6
593,0.84,255.0,total_amount,214.2
1361,0.72,297.4,tenure_days,214.128
1836,0.685,309.2,total_amount,211.80200000000002
1892,0.785,269.2,total_amount,211.322
241,0.74,285.2,total_amount,211.048
2829,0.68,298.4,total_amount,202.912
2924,0.73,277.4,total_amount,202.50199999999998
68,0.77,258.8,tenure_days,199.276
1129,0.74,269.2,total_amount,199.208
663,0.515,385.8,total_amount,198.687
13,0.705,281.8,total_amount,198.66899999999998
229,0.48,412.6,total_amount,198.048
2547,0.76,258.8,tenure_days,196.68800000000002
423,0.65,302.2,tenure_days,196.43
1232,0.675,290.6,total_amount,196.15500000000003
1365,0.735,265.6,total_amount,195.216
1598,0.86,224.2,total_amount,192.81199999999998
2026,0.83,232.0,tenure_days,192.56
2949,0.625,306.6,total_amount,191.625
472,0.685,279.2,tenure_days,191.252
1728,0.645,296.4,total_amount,191.178
950,0.7,272.8,total_amount,190.96
441,0.745,255.2,total_amount,190.124
18,0.8,237.2,tenure_days,189.76
598,0.705,266.8,total_amount,188.094
121,0.76,244.8,total_amount,186.048
2296,0.67,277.4,tenure_days,185.858
904,0.715,259.6,total_amount,185.614
871,0.635,291.4,tenure_days,185.039
1464,0.705,259.4,total_amount,182.87699999999998
1410,0.765,237.7,tenure_days,181.8405
2534,0.715,252.6,total_amount,180.60899999999998
1530,0.65,276.8,tenure_days,179.92000000000002
280,0.725,247.7,tenure_days,179.58249999999998
379,0.69,258.6,total_amount,178.434
1098,0.765,228.0,total_amount,174.42000000000002
749,0.725,238.8,total_amount,173.13
2449,0.47,368.0,total_amount,172.95999999999998
2633,0.82,207.6,tenure_days,170.232
2366,0.725,234.3,tenure_days,169.8675
2284,0.75,224.1,tenure_days,168.075
1533,0.625,267.6,tenure_days,167.25
2794,0.73,228.2,total_amount,166.58599999999998
1777,0.775,214.8,tenure_days,166.47000000000003
2018,0.605,271.8,total_amount,164.439
537,0.69,235.8,total_amount,162.702
2128,0.82,198.0,recency_days,162.35999999999999
2715,0.72,225.4,total_amount,162.288
1044,0.855,187.7,tenure_days,160.4835
1465,0.755,212.0,total_amount,160.06
1220,0.61,260.4,total_amount,158.844
727,0.75,208.2,total_amount,156.14999999999998
1336,0.84,179.8,tenure_days,151.032
2520,0.84,179.4,recency_days,150.696
2218,0.755,197.5,tenure_days,149.1125
1710,0.79,187.2,total_amount,147.888
708,0.725,202.6,total_amount,146.885
1330,0.78,188.2,total_amount,146.796
497,0.745,196.0,total_amount,146.02
1404,0.795,183.3,recency_days,145.72350000000003
1839,0.76,190.8,total_amount,145.008
2263,0.88,161.3,tenure_days,141.94400000000002
1761,0.65,217.8,total_amount,141.57000000000002
2779,0.665,212.6,tenure_days,141.379
2911,0.55,256.8,total_amount,141.24
2020,0.67,210.4,total_amount,140.96800000000002
1263,0.52,271.0,tenure_days,140.92000000000002
1060,0.75,186.2,tenure_days,139.64999999999998
2169,0.69,200.6,tenure_days,138.414
1679,0.62,223.2,total_amount,138.384
564,0.84,164.1,recency_days,137.844
1073,0.245,562.4,total_amount,137.78799999999998
2919,0.725,190.0,tenure_days,137.75
1828,0.725,186.2,recency_days,134.99499999999998
1357,0.5,265.8,total_amount,132.9
1659,0.745,178.1,tenure_days,132.68449999999999
1574,0.615,215.6,total_amount,132.594
900,0.775,168.4,tenure_days,130.51000000000002
634,0.81,160.2,tenure_days,129.762
1900,0.745,174.1,tenure_days,129.7045
2402,0.79,163.8,tenure_days,129.40200000000002
2069,0.9,143.4,recency_days,129.06
1951,0.695,185.2,tenure_days,128.71399999999997
2885,0.675,190.5,tenure_days,128.5875
2900,0.75,171.0,tenure_days,128.25
2028,0.88,145.6,tenure_days,128.128
803,0.68,188.2,tenure_days,127.976
2782,0.875,145.4,tenure_days,127.22500000000001
1488,0.735,172.9,tenure_days,127.0815
173,0.57,222.8,tenure_days,126.996
319,0.84,150.8,tenure_days,126.67200000000001
824,0.695,180.9,tenure_days,125.7255
1872,0.845,148.2,tenure_days,125.22899999999998
107,0.72,173.8,tenure_days,125.13600000000001
2538,0.325,384.4,total_amount,124.92999999999999
2229,0.8,155.6,recency_days_tx,124.48
1974,0.68,182.2,tenure_days,123.896
2163,0.705,175.7,tenure_days,123.86849999999998
2831,0.765,161.8,tenure_days,123.77700000000002
1677,0.77,160.1,tenure_days,123.277
1957,0.66,186.4,recency_days,123.02400000000002
1081,0.865,142.2,recency_days,123.00299999999999
29,0.775,158.7,tenure_days,122.99249999999999
834,0.71,172.8,tenure_days,122.688
551,0.765,159.8,tenure_days,122.24700000000001
2537,0.755,161.8,tenure_days,122.159
706,0.78,156.6,tenure_days,122.148
771,0.67,180.0,tenure_days,120.60000000000001
